epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1020.17,2.3833,4.2097,2.43488,0.27995,0.18135,0.12074,0.0398,2.12931,3.02214,2.32219,0.00333259,0.00333259,0.00333259
2,2116.63,1.80616,2.92152,1.98848,0.40184,0.22107,0.24077,0.10539,1.94165,2.52508,2.16696,0.00650094,0.00650094,0.00650094
3,3263.87,1.7664,2.77757,1.96632,0.54785,0.27504,0.30939,0.14487,1.88144,2.23137,2.10276,0.00950429,0.00950429,0.00950429
4,4352.87,1.73745,2.68498,1.95893,0.49443,0.37046,0.3781,0.17849,1.79156,2.07348,1.993,0.0092575,0.0092575,0.0092575
5,5039.93,1.66811,2.53844,1.90303,0.53825,0.3806,0.41396,0.19871,1.74898,2.00068,1.94218,0.00901,0.00901,0.00901
6,5726.66,1.62143,2.42327,1.86352,0.59234,0.40888,0.45666,0.22554,1.70758,1.8888,1.94632,0.0087625,0.0087625,0.0087625
7,6411.38,1.59202,2.33101,1.83531,0.60938,0.42869,0.479,0.24415,1.66974,1.80271,1.8863,0.008515,0.008515,0.008515
8,7096.88,1.56481,2.25211,1.8124,0.61817,0.43919,0.49735,0.2589,1.63793,1.74008,1.86091,0.0082675,0.0082675,0.0082675
9,7790.17,1.54515,2.18478,1.78442,0.61513,0.46478,0.51612,0.27299,1.61765,1.67715,1.82545,0.00802,0.00802,0.00802
10,8483.2,1.52677,2.14173,1.77589,0.62532,0.48005,0.53689,0.28709,1.59867,1.62917,1.81263,0.0077725,0.0077725,0.0077725
11,9173.72,1.50836,2.09039,1.75994,0.63454,0.49063,0.54652,0.29269,1.58364,1.59913,1.80127,0.007525,0.007525,0.007525
12,9862.46,1.48771,2.03817,1.7443,0.64752,0.49894,0.56308,0.3064,1.56671,1.54669,1.77919,0.0072775,0.0072775,0.0072775
13,10551.1,1.48309,2.00985,1.73376,0.65586,0.50662,0.57039,0.30884,1.5711,1.5419,1.7751,0.00703,0.00703,0.00703
14,11286,1.47115,1.97995,1.72366,0.67912,0.51524,0.58354,0.31737,1.55502,1.50195,1.75533,0.0067825,0.0067825,0.0067825
15,11984.1,1.45786,1.92764,1.71255,0.6836,0.52132,0.59066,0.32444,1.54474,1.46577,1.75391,0.006535,0.006535,0.006535
16,12677.7,1.44076,1.8902,1.70431,0.706,0.52055,0.59866,0.33413,1.53732,1.43842,1.73994,0.0062875,0.0062875,0.0062875
